"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"LIN";"Linde plc";"Materials";257.34;-0.011655896;1748287;4.708;3.852
"LKQ";"LKQ Corporation";"Consumer Discretionary";38.24;0.8704876;1285430;1.958;NA
"LLY";"Lilly (Eli) & Co.";"Health Care";205.77;1.9824551;2908822;6.788;2.96
"LMT";"Lockheed Martin Corp.";"Industrials";337.84;0.23735692;1544548;24.304;9.8
"LNC";"Lincoln National";"Financials";52.55;2.8778336;1898100;2.56;1.62
"LNT";"Alliant Energy Corp";"Utilities";49.06;-1.2479849;838435;2.686;1.495
"LOW";"Lowe's Cos.";"Consumer Discretionary";179.17;2.3653085;3417481;7.069;2.25
"LRCX";"Lam Research";"Information Technology";532.78;4.5158544;1465752;20.136;4.9
"LUMN";"Lumen Technologies";"Communication Services";12.37;1.1447289;7015582;NA;NA
"LUV";"Southwest Airlines";"Industrials";52.24;4.3756294;11351267;-5.441;0.18
"LW";"Lamb Weston Holdings Inc";"Consumer Staples";79.71;0.26414979;529829;2.02;0.92
"LVS";"Las Vegas Sands";"Consumer Discretionary";55.3;-0.48587447;8161008;-2.21;0.79
"LYB";"LyondellBasell";"Materials";95.52;2.4233267;1102093;4.24;4.2
"LYV";"Live Nation Entertainment";"Communication Services";76.39;2.7576044;1432603;-6.968;NA
"MA";"Mastercard Inc.";"Information Technology";337.03;-0.50774944;2651465;6.37;1.64
"MAA";"Mid-America Apartments";"Real Estate";135.49;0.571559;735826;2.19;4
"MAR";"Marriott Int'l.";"Consumer Discretionary";129.09;-0.30120435;2187988;0.538;0.96
"MAS";"Masco Corp.";"Industrials";57.33;1.6129097;1910394;5.468;0.545
"MCD";"McDonald's Corp.";"Consumer Discretionary";211.58;-0.47041112;2694967;6.306;5.04
"MCHP";"Microchip Technology";"Information Technology";152.47;4.833607;2477652;1.258;1.471
"MCK";"McKesson Corp.";"Health Care";183.8;0.40424204;914096;-25.423;1.66
"MCO";"Moody's Corp";"Financials";278.39;0.5126957;729180;9.605;2.18
"MDLZ";"Mondelez International";"Consumer Staples";56.02;-0.3380157;5432568;2.47;1.2
"MDT";"Medtronic plc";"Health Care";118.07;-0.27871776;4779551;2.74;2.24
"MET";"MetLife Inc.";"Financials";54.18;3.0429792;7772742;5.68;1.82
"MGM";"MGM Resorts International";"Consumer Discretionary";35.6;3.9416015;9350072;2.947;0.285
"MHK";"Mohawk Industries";"Consumer Discretionary";153.1;0.38027918;526445;49.89534;NA
"MKC";"McCormick & Co.";"Consumer Staples";90.83;0.5980739;858792;2.78;1.24
"MKTX";"MarketAxess";"Financials";569.72;-0.339363;168641;7.85;2.4
"MLM";"Martin Marietta Materials";"Materials";300.91;1.1122303;463199;10.697;2.22
"MMC";"Marsh & McLennan";"Financials";113.87;0.23767982;1346025;3.94;1.84
"MMM";"3M Company";"Industrials";180.76;0.9775991;2354751;9.25;5.88
"MNST";"Monster Beverage";"Consumer Staples";90.88;-0.24149421;1703414;2.219;NA
"MO";"Altria Group Inc";"Consumer Staples";42.97;1.1773016;7158462;2.4;3.4
